email;password;card_number;expires;security_code;first_name;last_name;contact_number;address_line;town;postcode
nekitos940@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;s Isaeva d 2;Moscow;117587
nekitos925@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;s Isaeva do 2;Moscow;117587
nekitos940@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;s Isaeva dom 2;Moscow;117587
nekitos925@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;s Isaeva 2;Moscow;117587
nekitos940@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;st Isaeva d 2;Moscow;117587
nekitos925@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;st Isaeva do 2;Moscow;117587
nekitos940@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;st Isaeva dom 2;Moscow;117587
nekitos925@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;st Isaeva 2;Moscow;117587
nekitos940@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;str Isaeva d 2;Moscow;117587
nekitos925@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;str Isaeva do 2;Moscow;117587
nekitos940@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;str Isaeva dom 2;Moscow;117587
nekitos925@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;str Isaeva 2;Moscow;117587
nekitos940@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;stre Isaeva d 2;Moscow;117587
nekitos925@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;stre Isaeva do 2;Moscow;117587
nekitos940@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;stre Isaeva dom 2;Moscow;117587
nekitos925@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;stre Isaeva 2;Moscow;117587
nekitos940@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;stree Isaeva d 2;Moscow;117587
nekitos925@gmail.com;@dswad321dsaDSDA;#5469896554565253;#0235;#056;Alex;Kole;79999999999;stree Isaeva do 2;Moscow;117587
